אביסל|אַ ביסל|קצת
אויפשרייבן|אוּיפשרייבּן|להעלות על הכתב
אויק|אויג|עין
אוישפראך|אוישפּראַך|התבטאות, ביטוי
אוך|אוך|גם (=אויך)
אום|אוּם|ב...
אומארדענונג|אומאָרדענונג|אי סדר
אומבאזיגבארקייט|אומבאַזיגבאַרקייט|בלתי מנוצח
אומבאמערקטערהייט|אוּמבאַמערקטערהייט|לא ניכר
אומבאקאנט|אומבאַקאַנט|בלתי מוכר
אומבעקאנט|אוּמבעקאַנט|בִלתי מוכר (לא מוכר)
אומבעשרייבליך|אוּמבּעשרייבּליך|בלתי-ניתן-לכתיבה
אומגיין|אומגיין|להסתובב, להתהלך
אומגליק|אומגליק|אסון
אומגעאכטערקייט|אוּמגעאָכטערקייט|חי (לא מבושל)
אומגעגאנגן|אוּמגעגאַנגען|הִתהלך, הִסתובב
אומגעגנט|אומגעגנט|סביבה
אומגעדולד|אוּמגעדולד|קוצר-רוח, כליון-עיניים
אומגעדולדיק|אומגעדולדיק|חסר סבלנות
אומגעויער|אומגעהויער|בלתי רגיל
אומגעקאכט|אוּמגעקאָכט|בלתי-מבושלים
אומגעקאכטערקייט|אוּמגעקאָכטערקייט|חי (לא מבושל)
אומגעריכט|אומגעריכט|בלתי צפוי
אומגעשטערט|אומגעשטערט|לא להפריע
אומגעשטערט|אוּמגעשטערט|בלי-הפרעה
אומדאנקבאר|אומדאַנקבאַר|כפוי טובה
אומדירעקטער|אומדירעקטער|לא ישיר
אומדערשראקן|אומדערשראָקן|ללא-פחד
אומדרען|אוּמדרעהען|יִסְתּוֹבבו
אומווילנדיק|אומווילנדיק|שלא ברצון
אוממעגלעך|אוממעגלעך|מן-הנמנע, בלתי אפשרי
אומעטום|אומעטום|בכל מקום
אומפארגעסליך|אוּמפאַרגעסליך|בלתי-נשכח
אומפערשטענדליך|אומפערשטענדליך|בלתי מובן
אומפערשטענדליךשח|ּאוּמפערשטענדליך ש"ח|בלתי ניתן להבנה
אומצופריידנקייט|אומצופריידנקייט|מורת־רוח, חוסר סיפוק
אומקלאר|אומקלאָר|לא ברור
אומקערן|אומקערן|להחזיר; לחזור
אומקערןזיך|אומקערן זיך|לחזור, להסתובב
אומרואיק|אומרואיק|לא רגוע
אומרוהיק|אוּמרוּהיג|חסר מנוחה, דואג
אומריין|אומריין|טמא, לא נקי
אומריינע|אומריינע|טמאים, לא נקיים
אומשולדיק|אומשולדיק|חף מפשע
אומשטענדן|אומשטענדן|תְּנַאים, מצבים, נסיבות
אומשטענדן|אוּמשטענדען|מצבים
און|און|ו-, וגם
אונגעדולד|אוּנגעדוּלד|חוסר סבלנות
אונד|אונד|ו-, וגם (גרמנית)
אונדז|אונדז|אותנו, לנו
אונדזער|אונדזער|שלנו
אונז|אונז|אותנו, לנו
אונזער|אונזער|שלנו
אונזערע|אונזערע|שלנו (רבים)
אונזערער|אונזערער|משלנו
אונטן|אונטן|למטה
אונטער|אוּנטער|תחת
אונטערגאנג|אונטערגאַנג|שקיעה
אונטערגעבןזיך|אונטערגעבן זיך|להיכנע
אונטערגעלייגט|אונטערגעלייגט|מונחים־למטה
אונטערגעשריבן(האט)|אונטערגעשריבן (האָט)|חתם
אונטערוועגנס|אונטערוועגנס|דרך
אונטערן|אונטערן|מתחת ל-
אונטערפיהערער|אוּנטערפיהערער|מלוה
אונטערפרנדיק|אונטערפָרנדיק|נוסע מתחת, עובר
אונטערשטער|אונטערשטער|תחתון
אונטערשייד|אוּנטערשייד|הבדל, חילוק
אונטערשיידן|אונטערשיידן|להבחין, להבדיל
אונטערשרייבן|אונטערשרייבן|לחתום
אוניווערסיטעט|אוניווערסיטעט|אוניברסיטה
אוער|אוער|אוזן
אופגעמישט|אוּפגעמישט|עירב
אופטאן|אופטאן|לפעול, להשיג (=אויפטאן)
אופראווע|אופראווע|מועצה עירונית (ברוסיה הצארית)
אוקראינער|אוקראַינער|אוקראיני
אורזאך|אורזאך|סיבה, גורם, עילה
אורטייל|אורטייל|משפט, גזר דין
אז|אַז|ש-, כאשר
אזא|אַזאַ|כזה
אזאנע|אַזאַנע|כאלה
אזוי|אַזוי|כך, ככה
אזויווי|אַזוי ווי|כמו, כפי ש-
אזוינס|אזוינס|כזה
אזוינע|אַזוינע|כאלה, כאלו
אזויפיל|אזויפיל|כל כך הרבה
אזופיל|אזופיל|כל כך הרבה
אזייגער|אַזייגער|בשעה (השעה...)
אזעלכע|אַזעלכע|כאלה
אזערע|אָזערע|אגם
אזש|אַזש|עד
אחוץ|אַחוץ|מלבד, חוץ מ-
אט|אָט|הנה
אטאזוי|אָט אַזוי|הנה כך, ככה
אטאקירטגעווארן|אַטאַקירט געוואָרן|מותקף
אטדאס|אָט דאָס|הנה זה
אטוואצק|אטוואצק|אוטבוצק (עיירה ליד ורשה)
אטמאספערע|אַטמאָספערע|אטמוספרה
אטעם|אָטעם|נשימה
אי|אי|גם, הן
איבער|איבער|מעל, על אודות
איבעראל|איבעראל|בכל מקום
איבערארבעטונג|איבּעראַרבּעטונג|עיבוד
איבערארבעטן|איבּעראַרבעטען|לעבד מחדש, לשפר
איבעראשט|איבּעראַשט|מופתע, נדהם
איבערבייטן|איבּערבּייטען|להחליף
איבערבעטן|איבערבעטן|לפייס
איבערגאנג|איבערגאַנג|מַעבר
איבערגעבויט|איבּערגעבויט|בנה מחדש
איבערגעבן|איבערגעבען|למסור, מסור
איבערגעבעטן|איבערגעבעטן|פייס
איבערגעגבנקייט|איבערגעגבנקייט|התמסרות
איבערגעגעבן|איבערגעגעבן|מסור
איבערגעגעבנקייט|איבערגעגעבנקייט|מסירות
איבערגעגעבענקייט|איבּערגעגעבענקייט|מסור
איבערגעזאגט|איבערגעזאגט|חזר ואמר, מסר
איבערגעזונגן|איבערגעזונגען|שר שוב
איבערגעזעצט|איבערגעזעצט|מתורגם
איבערגעטראכט|איבערגעטראכט|הרהר, שקל מחדש
איבערגעטריבן|איבערגעטריבן|מוגזם
איבערגעלאזט|איבערגעלאָזט|השאיר
איבערגעלאזט(האט)|איבערגעלאָזט (האָט)|השאיר
איבערגעלאזטגעווארן|איבערגעלאָזט געוואָרן|הושאר
איבערגעלאזן|איבערגעלאָזן|הושאר
איבערגעלייענט|איבערגעלייענט|לִקרוא שוב
איבערגעלעבט|איבערגעלעבט|עבר, חווה
איבערגעמאכט|איבּערגעמאַכט|משה מחדש
איבערגענומען(האט)|איבערגענומען (האָט)|השתלט, קיבל
איבערגעקערט|איבערגעקערט|הפוך, הפך
איבערגעריסן|איבערגעריסן|נקטע, נִתק
איבערגעריסן|איבערגעריסען|קָטַע
איבערדערציילן|איבּערדערציילען|לְסַפר-שוב
איבערהויפט|איבערהויפט|בכלל, בעיקר
איבערזאגן|איבערזאגן|לחזור ולומר, לשנן
איבערזאגענדיק|איבערזאגענדיק|תוך כדי חזרה על הדברים
איבערזעצונג|איבערזעצונג|תרגום
איבערזעצן|איבערזעצן|לתרגם
איבערטראגן|איבערטראָגן|לסבול, לשאת
איבערטראכטן|איבערטראכטן|להרהר, לחשוב היטב
איבערטרייבן|איבערטרייבן|להגזים
איבעריגע|איבּעריגע|מיותרים
איבעריק|איבעריק|מיותר
איבעריקע|איבעריקע|הנותרים, השאר; מיותרים
איבערלאזן|איבערלאָזן|להשאיר
איבערלאזנדיק|איבערלאָזנדיק|בעזבו, בהשאירו
איבערלייענן|איבערלייענען|לקרוא עד הסוף
איבערלעבונג|איבערלעבונג|חוויה, התרגשות
איבערלעבונגן|איבּערלעבּונגען|חוויות, התנסויות
איבערלעבן|איבּערלעבּן|לָחווֹת, להִתנסות
איבערלעבעניש|איבערלעבעניש|חוויה
איבערמאכן|איבערמאכן|לעשות מחדש
איבערמארגן|איבערמאָרגן|מחרתיים
איבערן|איבערן|מעל ה־, על ה־
איבערנעמן|איבערנעמען|ליטול על עצמו; (זיך) להתרגש
איבערפילט|איבערפילט|מלא על גדותיו
איבערצייגט|אַיבערצייגט|משוכנע
איבערצייגטגעווארן|איבערצייגט געוואָרן|השתכנע
איבערצייגןזיך|איבערצייגן זיך|להיות משוכנע, להיות משכנע, להשתכנע
איבערצייגנדיקזיך|איבערצייגנדיק זיך|להשתכנע
איבערקולין|איבּערקוליען|להתקרר, להירגע
איבערקלייבן|איבּערקלייבּען|לברר
איבערקלייבעריש|איבערקלייבעריש|בררני
איבערקערן|איבערקערן|להפוך
איבערקערעניש|איבערקערעניש|מהפכה, תהפוכה
איבערקערענישן|איבּערקערענישען|מהפכות
איבערראשונג|איבערראַשונג|הפתעה, פליאה
איבערראשט|איבערראַשט|הפתיע
איבערראשט|איבערראַשט|מופתע
איבערריידן|איבּערריידען|לחזור
איד|איד|יהודי
אידין|אידין|יהודים (אידן)
אידיש|אידיש|יידיש
אידישן|אידישן|יהודי, של יהודים (בהטיה)
אידישע|אידישע|יהודי
אידישער|אידישער|יהודי (תואר)
אידן|אידן|יהודים
אידנטום|אידנטום|זהות
אידעאל|אידעאַל|אידיאל
אידענטום|אידענטום|יהדות
אידענע|אידענע|אישה יהודייה
אידענעס|אידענעס|נשים יהודיות
אידעע|אידעע|רעיון
אידעשע|אידעשע|יהודית, יהודיים
איהם|איהם|אותו, לו
איהר|איהר|אתם
איז|איז|הוא, הינו (פועל היות)
איי|איי|ביצה
אייביק|אייבּיג|לָנֶצַח
אייביק|אייביק|נצחי
אייבערשטער|אייבערשטער|הקב"ה, העליון
אייגן|אייגן|עיניים
אייגןן|אייגןן|עצמי (מוטה)
אייגןע|אייגןע|עצמי (נקבה/רבים)
אייגןער|אייגןער|עצמי (זכר)
אייגנארטיקער|אייגנאַרטיקער|מקורי
אייגנטלעך|אייגנטלעך|למעשה
אייגנשאפט|אייגנשאפט|תכונה
אייגנשאפטן|אייגנשאפטן|תכונות
אייגענהענדיגע|אייגענהענדיגע|כתב יד שלו
אייגענע|אייגענע|שלו (של עצמו)
אייגענעם|אייגענעם|עצמי, שלו (מוטה)
אייגענער|אייגענער|שלו עצמו
אייגענר|אייגענר|עצמי
אייגענשאפט|אייגענשאַפט|תוכן, תכונה, תכונה, מאפיין
איידים|איידים|חתן (בעל הבת)
איידימס|איידימס|של החתן
איידל|איידל|עדין, אצילי
איידלסטע|איידלסטע|האציליים ביותר, המעודנים ביותר
איידלקייט|איידלקייט|עדינות, אצילות
איידעלסטע|איידעלסטע|עדין - ביותר
איידעלע|איידעלע|עדינים, אציליים
איידעלער|איידעלער|עדין ביותר
איידעלקייט|איידעלקייט|עידון, עדינות
איידעם|איידעם|חתן (בעל-הבת)
איידער|איידער|לפני
אייווארצלונג|אייוואָרצלונג|השתרשות
אייז|אייז|קרח
אייזן|אייזן|ברזל
אייזערנע|אייזערנע|ברזל
אייזערנעם|אייזערנעם|של ברזל
אייך|אייך|לכם
איילט|איילט|מְְמָהר
אייליק|אייליק|דָחוּף
איילן|איילן|למהר, לחפוז
איילן|אַיילען|ממהרים
איילןזיך|איילן זיך|למהר, להחפז
איילעניש|איילעניש|חפזון, בהילות
איין|איין|אחד
