אַ ביסל|קצת|a little
אויפגעשטעלט|העמיד, הקים|set up, established
אויפדעקן|לגלות, לחשוף|to uncover, to reveal
אויפהאַלטן|לשמור, לקיים לעכב|to maintain; to detain, to delay
אויפֿהאַלטן|לשמור, לקיים|to maintain, to sustain
אויפהאַלטן זיך|לשהות, להתקיים|to stay, to abide
אויפהויבן|להרים, להגביה|to lift up, to raise
אויפֿהייבן|להרים|to lift up
אויפהענגען|לתלות|to hang up
אויפהערן|להפסיק, לחדול|to stop, to cease
אויפוואַרפען|להשליך למעלה, להעלות|to throw up, to raise
אויפווייזן|להוכיח, להראות|to prove, to show
אויפוועקן|להעיר|to wake up, to awaken
אויפטאָן|לפעול, לחדש|to accomplish, to achieve
אויפטו|חידוש, פעולה מחודשת|achievement, feat
אויפטואונג|פעולה, הישג|accomplishment, achievement
אויפטואונגען|פעולות, הישגים|accomplishments, achievements
אויפטוען|חידושים|achievements, innovations
אויפטראָג|הַסְמָכָה|commission, assignment
אויפטריכטיקן|כֵּנה|sincere, upright
אויפכאַפּן|לקלוט, להבין|to catch on, to grasp
אױפֿכאַפּן|להתעורר|to wake up (with a start)
אויפֿלאָגן|לטעון|to load
אויפֿלעבן|לחיות|to come to life, to revive
אױפֿלעבן|להתחיות|to revive, to come alive
אויפֿמאַכן|לפתוח|to open up
אויפמערקזאַם|מעירים (מסבים תשומת לב)|drawing attention; attentive
אויפֿמערקזאַם|קשוב|attentive
אויפמערקזאַמקייט|תשומת לב|attention
אויפֿן|על ה-|on the
אויפֿנאַם|קבלת פנים|reception, welcome
אויפֿנעמען|לקבל|to receive, to take in
אויפפיהערונגען|חֶבְרָתִּיים|conduct, behavior (social)
אויפפיהרען|להתנהג; להציג|to behave; to perform
אויפפירונג|התנהגות, הנהגה|conduct, behavior
אױפֿפֿרישן|לרענן|to refresh
אויפץ|על ה־|on the
אויפצובויען|לבנות|to build up
אויפצוטאן|לפעול, לחדש|to accomplish, to achieve
אויפצונעמען|לקחת, לאסוף|to take up, to gather
אויפצוקלערן|להסביר, להבהיר|to explain, to clarify
אויפֿקלאַרונג|הסברה|enlightenment, clarification
אויפֿקלאַרן|להסביר|to explain, to enlighten
אויפקלערן|לברר, להבהיר, לבאר|to clarify, to elucidate
אויפֿרוף|קריאה לעלות לתורה|call-up to the Torah (aliyah)
אויפרופן|לקרוא; להעלות לתורה|to call up (to the Torah)
אויפרייס|קרע, פרצה|tear, breach
אויפריכטיג|כן, ישר לב|sincere, honest
אויפריכטיקן|כֵּנה|sincere, upright
אויפשטייג|עליה, שגשוג|rise, ascent, prosperity
אויפשטייגן|לעלות, עלייה|to rise, to ascend
אויפֿשטיין|לקום|to get up, to stand up
אויפשטייען|להִתעורר|to arise, to rise up
אויפשטעלן|להקים, להעמיד|to set up, to erect
אוּיפשרייבּן|להעלות על הכתב|to write down, to record
אוישפּראַך|התבטאות, ביטוי|pronunciation, utterance
אוך|גם (=אויך)|also
אוּם|ב...|at, on (temporal prefix)
אומאָרדענונג|אי סדר|disorder
אומבאַזיגבאַרקייט|בלתי מנוצח|invincibility
אוּמבאַמערקטערהייט|לא ניכר|unnoticed, imperceptibly
אומבאַקאַנט|בלתי מוכר|unknown
אוּמבעקאַנט|בִלתי מוכר (לא מוכר)|unknown, unfamiliar
אוּמבּעשרייבּליך|בלתי-ניתן-לכתיבה|indescribable
אומגיין|להסתובב, להתהלך|to go around, to wander
אומגליק|אסון|misfortune, disaster
אוּמגעאָכטערקייט|חי (לא מבושל)|rawness, uncooked state
אוּמגעגאַנגען|הִתהלך, הִסתובב|went around, wandered
אומגעגנט|סביבה|surroundings, vicinity
אוּמגעדולד|קוצר-רוח, כליון-עיניים|impatience
אומגעדולדיק|חסר סבלנות|impatient
אומגעהויער|בלתי רגיל|enormous, tremendous
אומגעפער|בערך|approximately, about
אוּמגעקאָכט|בלתי-מבושלים|uncooked
אוּמגעקאָכטערקייט|חי (לא מבושל)|rawness, uncooked state
אומגעקומען|נספה|perished
אומגעריכט|בלתי צפוי|unexpected
אומגעשטערט|לא להפריע|undisturbed
אוּמגעשטערט|בלי-הפרעה|undisturbed
אומדאַנקבאַר|כפוי טובה|ungrateful
אומדירעקטער|לא ישיר|indirect
אומדערשראָקן|ללא-פחד|fearless, undaunted
אוּמדרעהען|יִסְתּוֹבבו|to turn around
אומווילנדיק|שלא ברצון|unwillingly, involuntarily
אומוויסנד|בור, שאינו יודע|ignorant
אומוויסענדע|בורים|ignorant ones
אומזיסט|לחינם, בחינם|in vain; free of charge
אוממעגלעך|מן-הנמנע, בלתי אפשרי|impossible
אומעטום|בכל מקום|everywhere
אוּמפאַרגעסליך|בלתי-נשכח|unforgettable
אומפערשטענדליך|בלתי מובן|incomprehensible
ּאוּמפערשטענדליך ש"ח|בלתי ניתן להבנה|incomprehensible
אומצופריידנקייט|מורת־רוח, חוסר סיפוק|dissatisfaction, discontent
אומקלאָר|לא ברור|unclear
אומקערן|להחזיר; לחזור|to return, to give back
אומקערן זיך|לחזור, להסתובב|to return, to turn back
אומרואיק|לא רגוע|restless, uneasy
אוּמרוּהיג|חסר מנוחה, דואג|restless, anxious
אומריין|טמא, לא נקי|impure, unclean
אומריינע|טמאים, לא נקיים|impure ones
אומשולדיק|חף מפשע|innocent
אומשטענדן|תְּנַאים, מצבים, נסיבות|circumstances, conditions
אוּמשטענדען|מצבים|circumstances
און|ו-, וגם|and
אוּנגעדוּלד|חוסר סבלנות|impatience
אונד|ו-, וגם (גרמנית)|and (German)
אונדז|אותנו, לנו|us, to us
אונדזער|שלנו|our
אונז|אותנו, לנו|us, to us
אונזער|שלנו|our
אונזערע|שלנו (רבים)|our (pl.)
אונזערער|משלנו|ours
אונטן|למטה|below, down
אוּנטער|תחת|under
אונטערגאַנג|שקיעה|sunset, decline, downfall
אונטערגעבן זיך|להיכנע|to submit, to surrender
אונטערגעלייגט|מונחים־למטה|placed underneath
אונטערגעשריבן (האָט)|חתם|signed
אונטערוועגנס|דרך|on the way, en route
אונטערן|מתחת ל-|under the
אונטערנעמונג|מיזם, יוזמה|enterprise, undertaking
אוּנטערפיהערער|מלוה|escort, guide
אונטערפָרנדיק|נוסע מתחת, עובר|passing underneath
אונטערשטער|תחתון|lowest, bottom
אונטערשיד|הבדל|difference
אוּנטערשייד|הבדל, חילוק|difference, distinction
אונטערשיידן|להבחין, להבדיל|to distinguish, to differentiate
אונטערשרייבן|לחתום|to sign
אוניווערסיטעט|אוניברסיטה|university
אוער|אוזן|ear
אוּפגעמישט|עירב|mixed up, stirred
אופטאן|לפעול, להשיג (=אויפטאן)|to accomplish, to achieve
אופראווע|מועצה עירונית (ברוסיה הצארית)|municipal council (Tsarist Russia)
אוקראַינער|אוקראיני|Ukrainian
אורזאך|סיבה, גורם, עילה|cause, reason
אורטייל|משפט, גזר דין|judgment, verdict
אַז|ש-, כאשר|that; when
אַזאַ|כזה|such a
אַזאַנע|כאלה|such (pl.)
אַזוי|כך, ככה|so, thus
אַזוי ווי|כמו, כפי ש-|just as, since
אזוינס|כזה|such a thing
אַזוינע|כאלה, כאלו|such (pl.)
אזויפיל|כל כך הרבה|so much, so many
אזופיל|כל כך הרבה|so much, so many
אַזייגער|בשעה (השעה...)|o'clock
אַזעלכע|כאלה|such (pl.)
אָזערע|אגם|lake
אַזש|עד|even, as much as
אַחוץ|מלבד, חוץ מ-|besides, apart from
אָט|הנה|here (is)
אָט אַזוי|הנה כך, ככה|just like this
אָט דאָס|הנה זה|this very thing
אַטאַקירט געוואָרן|מותקף|was attacked
אטוואצק|אוטבוצק (עיירה ליד ורשה)|Otwock (town near Warsaw)
אַטמאָספערע|אטמוספרה|atmosphere
אָטעם|נשימה|breath
אי|גם, הן|both... and
איבער|מעל, על אודות|over; about
איבעראל|בכל מקום|everywhere
איבּעראַרבּעטונג|עיבוד|revision, reworking
איבּעראַרבעטען|לעבד מחדש, לשפר|to rework, to revise
איבּעראַשט|מופתע, נדהם|surprised, astonished
איבּערבּייטען|להחליף|to exchange, to replace
איבערבעטן|לפייס|to reconcile, to appease
איבערגאַנג|מַעבר|transition, passage
איבּערגעבויט|בנה מחדש|rebuilt
איבערגעבעטן|פייס|reconciled, appeased
איבערגעבען|למסור, מסור|to hand over, to convey
איבערגעגבנקייט|התמסרות|devotion, dedication
איבערגעגעבן|מסור|devoted; handed over
איבערגעגעבנקייט|מסירות|devotion
איבערגעגעבענער|מסור (זכר)|devoted (m.)
איבּערגעגעבענקייט|מסור|devotion
איבערגעזאגט|חזר ואמר, מסר|repeated, conveyed
איבערגעזונגען|שר שוב|sang again
איבערגעזעצט|מתורגם|translated
איבערגעטראכט|הרהר, שקל מחדש|reconsidered, pondered
איבערגעטריבן|מוגזם|exaggerated
איבערגעלאָזט|השאיר|left behind
איבערגעלאָזט געוואָרן|הושאר|was left behind
איבערגעלאָזט (האָט)|השאיר|left behind
איבערגעלאָזן|הושאר|was left behind
איבערגעלייענט|לִקרוא שוב|read over, reread
איבערגעלעבט|עבר, חווה|experienced, went through
איבּערגעמאַכט|משה מחדש|remade, redone
איבערגענומען (האָט)|השתלט, קיבל|took over
איבערגעקערט|הפוך, הפך|turned over, overturned
איבערגעריסן|נקטע, נִתק|torn apart, severed
איבערגעריסען|קָטַע|interrupted, severed
איבערדערציילט|סיפר מחדש|retold
איבּערדערציילען|לְסַפר-שוב|to retell
איבערהויפט|בכלל, בעיקר|especially, above all
איבערזאגן|לחזור ולומר, לשנן|to repeat, to recite
איבערזאגענדיק|תוך כדי חזרה על הדברים|while repeating
איבערזעצונג|תרגום|translation
איבערזעצן|לתרגם|to translate
איבערטראָגן|לסבול, לשאת|to bear, to endure
איבערטראכטן|להרהר, לחשוב היטב|to ponder, to reconsider
איבערטרייבן|להגזים|to exaggerate
איבּעריגע|מיותרים|superfluous, unnecessary (pl.)
איבעריק|מיותר|superfluous, unnecessary
איבעריקע|הנותרים, השאר; מיותרים|the rest, remaining; superfluous
איבערלאָזן|להשאיר|to leave behind
איבערלאָזנדיק|בעזבו, בהשאירו|leaving behind
איבערלייגן|לשקול|to consider, to deliberate
איבערלייענען|לקרוא עד הסוף|to read through
איבערלעבונג|חוויה, התרגשות|experience, emotion
איבּערלעבּונגען|חוויות, התנסויות|experiences
איבּערלעבּן|לָחווֹת, להִתנסות|to experience, to live through
איבערלעבעניש|חוויה|experience
איבערמאכן|לעשות מחדש|to redo, to remake
איבערמאָרגן|מחרתיים|the day after tomorrow
איבערן|מעל ה־, על ה־|over the
איבערנעמען|ליטול על עצמו; (זיך) להתרגש|to take upon oneself; to be moved
איבערפילט|מלא על גדותיו|overfilled, brimming
איבערפרעגן|לתשאל|to question, to interrogate
איבערצוגעבען|למסור|to hand over, to convey
אַיבערצייגט|משוכנע|convinced
איבערצייגט געוואָרן|השתכנע|became convinced
איבערצייגן זיך|להיות משוכנע, להיות משכנע, להשתכנע|to convince oneself, to be convinced
איבערצייגנדיק זיך|להשתכנע|becoming convinced
איבּערקוליען|להתקרר, להירגע|to cool down, to calm down
איבּערקלייבּען|לברר|to sort out, to pick
איבערקלייבעריש|בררני|choosy, picky
איבערקערן|להפוך|to turn over, to overturn
איבערקערעניש|מהפכה, תהפוכה|upheaval, revolution
איבּערקערענישען|מהפכות|upheavals
איבערראַשונג|הפתעה, פליאה|surprise, astonishment
איבערראַשט|הפתיע|surprised
איבערראַשט|מופתע|surprised, astonished
איבּערריידען|לחזור|to repeat, to go over
איד|יהודי|Jew
אידין|יהודים (אידן)|Jews
אידיש|יידיש|Yiddish
אידישן|יהודי, של יהודים (בהטיה)|Jewish (inflected)
אידישע|יהודי|Jewish
אידישער|יהודי (תואר)|Jewish (adj.)
אידן|יהודים|Jews
אידנטום|זהות|Jewry, Jewishness
אידעאַל|אידיאל|ideal
אידענטום|יהדות|Jewry, Judaism
אידענע|אישה יהודייה|Jewish woman
אידענעס|נשים יהודיות|Jewish women
אידעע|רעיון|idea
אידעשע|יהודית, יהודיים|Jewish
איהם|אותו, לו|him, to him
איהר|אתם|you (pl.); her
איז|הוא, הינו (פועל היות)|is
איי|ביצה|egg
אייבּיג|לָנֶצַח|eternal, forever
אייביגקייט|נצחיות|eternity
אייביק|נצחי|eternal
אייבענאן|מקום ראשון, בראש|first place, at the head
